trade_id,status,symbol,side,signal_timestamp,entry_timestamp,entry_reference_price,entry_price,exit_timestamp,exit_reference_price,exit_price,quantity,position_value,risk_amount,stop_loss,take_profit,exit_reason,gross_pnl,entry_fee,exit_fee,entry_slippage,exit_slippage,slippage,net_pnl,R,holding_time
1,CLOSED,BTCUSDT,LONG,2024-01-01 09:10:00+00:00,2024-01-01 09:15:00+00:00,42574.24,42595.52712,2024-01-01 19:45:00+00:00,43447.4376624,43425.7139435688,0.00046906380389969885,19.980019980019982,0.19980019980019983,42169.5718488,43447.4376624,TP,0.40958541708166984,0.019980019980019983,0.020369430569430573,0.009985017481269764,0.010189810189809826,0.02017482767107959,0.3490611388611397,1.747051000000004,0 days 10:30:00
2,CLOSED,BTCUSDT,LONG,2024-01-01 23:15:00+00:00,2024-01-01 23:20:00+00:00,43736.23,43758.098115,2024-01-02 00:10:00+00:00,44633.2600773,44610.94344726135,0.0004645707487795528,20.32873240645469,0.20328732406454691,43320.51713385,44633.2600773,TP,0.41673393468904024,0.02032873240645469,0.02072493940105649,0.010159286559946204,0.010367653527292383,0.020526940087238585,0.35515332279429057,1.747050999999999,0 days 00:50:00
3,CLOSED,BTCUSDT,LONG,2024-01-02 07:05:00+00:00,2024-01-02 07:10:00+00:00,45335.82,45358.487909999996,2024-01-02 15:15:00+00:00,44904.90303089999,44882.450579384546,0.0004560013325789174,20.683530930724714,0.20683530930724714,44904.90303089999,46265.657668199994,SL,-0.19649871214047096,0.020683530930724715,0.020466457273606756,0.010336597166777364,0.010238347810707843,0.02057494497748521,-0.25822364532228764,-1.2484505000000015,0 days 08:05:00
4,CLOSED,BTCUSDT,LONG,2024-01-03 00:45:00+00:00,2024-01-03 00:50:00+00:00,45186.24,45208.833119999996,2024-01-03 11:10:00+00:00,44756.744788799995,44734.366416405595,0.00045180474348597996,20.425565251082073,0.20425565251082073,44756.744788799995,46113.0097824,SL,-0.19404797372467406,0.020425565251082075,0.020211198943771966,0.010207678786146935,0.010110654799285525,0.02031833358543246,-0.2550030715049606,-1.248450500000001,0 days 10:20:00
5,CLOSED,BTCUSDT,LONG,2024-01-04 00:05:00+00:00,2024-01-04 00:10:00+00:00,42884.99,42906.432494999994,2024-01-04 15:00:00+00:00,43764.56114489999,43742.67886432754,0.0004701117234636288,20.170816927900294,0.20170816927900295,42477.368170049995,43764.56114489999,TP,0.4134967068378132,0.020170816927900296,0.020563946149825072,0.010080368279808216,0.01028711663322845,0.020367484913036665,0.3523944588470511,1.7470509999999986,0 days 14:50:00
6,CLOSED,BTCUSDT,LONG,2024-01-04 19:15:00+00:00,2024-01-04 19:20:00+00:00,44353.98,44376.15699,2024-01-04 19:45:00+00:00,43932.3954201,43910.429222389954,0.0004624749130249306,20.522859344330918,0.20522859344330918,43932.3954201,45263.68012980001,SL,-0.19497229192190518,0.02052285934433092,0.020307471935512165,0.010256301521404724,0.010158815375442744,0.02041511689684747,-0.25621774009859577,-1.2484504999999986,0 days 00:25:00
7,CLOSED,BTCUSDT,LONG,2024-01-04 20:35:00+00:00,2024-01-04 20:40:00+00:00,44441.1,44463.32055,2024-01-05 00:35:00+00:00,44018.687344499995,43996.67800082775,0.00045581160640533055,20.266897566010645,0.20266897566010644,44018.687344499995,45352.586961,SL,-0.19254059106939825,0.020266897566010644,0.020054196476055365,0.01012838459070914,0.010032114295173195,0.020160498885882335,-0.2530221839973466,-1.2484504999999946,0 days 03:55:00
8,CLOSED,BTCUSDT,LONG,2024-01-05 06:50:00+00:00,2024-01-05 06:55:00+00:00,43874.0,43895.937,2024-01-05 10:55:00+00:00,43456.97763,43435.249141185006,0.00045594488964725556,20.014128151427883,0.20014128151427885,43456.97763,44773.85574,SL,-0.1901392184700864,0.020014128151427883,0.01980407987647865,0.010002063044190969,0.00990699343495462,0.01990905647914559,-0.24986648297713854,-1.2484504999999817,0 days 04:00:00
9,CLOSED,BTCUSDT,LONG,2024-01-05 19:45:00+00:00,2024-01-05 19:50:00+00:00,43710.91,43732.765455,2024-01-08 02:50:00+00:00,43295.43780045,43273.79008154978,0.00045193829111159407,19.764511285316853,0.19764511285316855,43295.43780045,44607.4207641,SL,-0.18776779586900236,0.019764511285316855,0.01955708273937746,0.009877316984165063,0.00978343308623198,0.01966075007039704,-0.24675013996409373,-1.248450499999995,2 days 07:00:00
10,CLOSED,BTCUSDT,LONG,2024-01-08 10:25:00+00:00,2024-01-08 10:30:00+00:00,43991.1,44013.09555,2024-01-08 12:00:00+00:00,44893.357461,44870.9107822695,0.00044345909791362295,19.51800764898909,0.1951800764898909,43572.9645945,44893.357461,TP,0.4001142797408963,0.019518007648989092,0.019898413618067892,0.00975412676111383,0.009954183900984044,0.019708310662097876,0.34098954781174146,1.7470510000000055,0 days 01:30:00
11,CLOSED,BTCUSDT,LONG,2024-01-10 22:20:00+00:00,2024-01-10 22:25:00+00:00,46501.66,46524.91083,2024-01-10 23:10:00+00:00,47455.4090466,47431.6813420767,0.0004268392178217082,19.85865654790192,0.1985865654790192,46059.6617217,47455.4090466,TP,0.40709749704894155,0.01985865654790192,0.02024570176402053,0.009924366090904323,0.010127914839429382,0.020052280930333705,0.34694085780668543,1.7470509999999972,0 days 00:45:00
12,CLOSED,BTCUSDT,LONG,2024-01-11 10:15:00+00:00,2024-01-11 10:20:00+00:00,46372.97,46396.156485,2024-01-11 12:40:00+00:00,47324.0796147,47300.41757489265,0.00043549406550470347,20.20525081144506,0.20205250811445064,45932.194920149996,47324.0796147,TP,0.4142025928463146,0.02020525081144506,0.020599051149760125,0.010097576617413109,0.010304677913837018,0.02040225453125013,0.3529960363538593,1.747051000000001,0 days 02:20:00
13,CLOSED,BTCUSDT,LONG,2024-01-11 14:00:00+00:00,2024-01-11 14:05:00+00:00,47639.36,47663.17968,2024-01-11 14:45:00+00:00,48616.4432736,48592.1350519632,0.0004313160461057592,20.557894204405965,0.20557894204405966,47186.5478832,48616.4432736,TP,0.4214316942852242,0.020557894204405965,0.020958567562449838,0.010273810197104653,0.010484526044246354,0.020758336241351007,0.3591568962770174,1.7470510000000046,0 days 00:40:00
14,CLOSED,BTCUSDT,LONG,2024-01-11 20:10:00+00:00,2024-01-11 20:15:00+00:00,46953.31,46976.786654999996,2024-01-11 20:30:00+00:00,46507.01878845,46483.76527905578,0.0004452559187625603,20.916692302584806,0.20916692302584808,46507.01878845,47916.322388099994,SL,-0.19871380343435155,0.02091669230258481,0.02069717161686918,0.010453119591496019,0.01035376268977752,0.020806882281273538,-0.2611345496350791,-1.2484504999999884,0 days 00:15:00
