investigation,regime,month,horizon,n,median_forward_return,mean_forward_return,mfe_median,mae_median,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,future_vol_median
12_holding_horizon,ALL,2024-01,1h,8879,4.517988518859539e-05,2.124765258139537e-05,0.002436590629568691,0.0025849353161649935,0.06160603671584638,0.06994030859331006,0.8684536546908436,0.006044419303772644
12_holding_horizon,ALL,2024-01,4h,8879,0.00010970119415509849,4.231866353943963e-05,0.004969630310632134,0.0055054863312613556,0.22795359837819573,0.2545331681495664,0.5175132334722379,0.012988063661384148
12_holding_horizon,ALL,2024-01,12h,8879,0.00016819784970056872,4.586004963755207e-05,0.009669893447409983,0.011107498180053299,0.37673161392048654,0.4631152156774411,0.1601531704020723,0.024114561654695024
12_holding_horizon,ALL,2024-02,1h,8352,0.00017945023415866235,0.0005433406629831935,0.0022698596686994144,0.0020405115673953755,0.06297892720306514,0.04645593869731801,0.8905651340996169,0.005123814417060886
12_holding_horizon,ALL,2024-02,4h,8352,0.0007985761364643906,0.002183776461520156,0.0054436066594754084,0.0041934029314550925,0.24952107279693486,0.14212164750957854,0.6083572796934866,0.01106414300615369
12_holding_horizon,ALL,2024-02,12h,8352,0.002661702422199097,0.006682677324324979,0.010881310864947258,0.006887750125684822,0.47701149425287354,0.2855603448275862,0.23742816091954022,0.020447628455453313
12_holding_horizon,ALL,2024-03,1h,8928,0.0002679720546627795,0.00022015766293167994,0.0034250420186016095,0.0031974183236427867,0.11727150537634409,0.131160394265233,0.7515681003584229,0.007938271928965625
12_holding_horizon,ALL,2024-03,4h,8928,0.0012179394258780007,0.0008858192643981964,0.007437259817941966,0.0061336376404526605,0.34408602150537637,0.299171146953405,0.35674283154121866,0.016347866563686718
12_holding_horizon,ALL,2024-03,12h,8928,0.001785981503882983,0.002374695251074401,0.013753420211916834,0.012328929774779063,0.49988799283154123,0.3949372759856631,0.1051747311827957,0.0315724724549345
12_holding_horizon,ALL,2024-04,1h,8640,-0.0001445815801738859,-0.00020323636028925674,0.002852860207444574,0.0030299879090880943,0.08391203703703703,0.10844907407407407,0.8076388888888889,0.007169258802101146
12_holding_horizon,ALL,2024-04,4h,8640,-0.0004773396933082652,-0.000835285028169492,0.005935189096255122,0.00678445560706431,0.2520833333333333,0.3453703703703704,0.4025462962962963,0.015315792013244355
12_holding_horizon,ALL,2024-04,12h,8640,-0.0005990701567146206,-0.0026435425941208116,0.010227333160891527,0.013709022211331412,0.3980324074074074,0.5255787037037037,0.0763888888888889,0.028979508989723762
12_holding_horizon,ALL,2024-05,1h,8928,5.3028772750152164e-05,0.00016262376096854396,0.0024534526000256074,0.0022518415072591558,0.053651433691756276,0.05566756272401434,0.8906810035842294,0.005599268509785955
12_holding_horizon,ALL,2024-05,4h,8928,0.0006720940673013986,0.0006802306579643823,0.005338688862189356,0.004763678783120839,0.23342293906810035,0.2152777777777778,0.5512992831541219,0.012234504380231468
12_holding_horizon,ALL,2024-05,12h,8928,0.0012175374272261896,0.002356799343243412,0.010009598558474608,0.00814051845994962,0.44388440860215056,0.3695116487455197,0.18660394265232974,0.021387283825588046
12_holding_horizon,ALL,2024-06,1h,8640,-1.1613444137748008e-05,-9.607194153252308e-05,0.001578532011611511,0.0016678557526418336,0.026851851851851852,0.03796296296296296,0.9351851851851852,0.0041490436285499055
12_holding_horizon,ALL,2024-06,4h,8640,-6.94159747712253e-05,-0.00034052088523477294,0.003329482478948931,0.0034543502410479543,0.14675925925925926,0.15324074074074073,0.7,0.008793547706301148
12_holding_horizon,ALL,2024-06,12h,8640,0.00014919508487587496,-0.0010608554561317908,0.006766770883388951,0.006338762115017049,0.3091435185185185,0.3013888888888889,0.3894675925925926,0.01753239627059972
12_holding_horizon,ALL,2024-07,1h,8928,0.00012583094258877825,5.418547772505353e-05,0.0027619755115640965,0.0025798164551133485,0.06720430107526881,0.07291666666666667,0.8598790322580645,0.006435237454059118
12_holding_horizon,ALL,2024-07,4h,8928,0.0006059299830347697,0.00013975625557154404,0.005969261624468203,0.005647612798597601,0.26366487455197135,0.2743055555555556,0.4620295698924731,0.013851019663836001
12_holding_horizon,ALL,2024-07,12h,8928,0.0009171033336692336,0.00046748474194255806,0.011274454465948325,0.011191202233273023,0.4718862007168459,0.4536290322580645,0.0744847670250896,0.025206341433060477
12_holding_horizon,ALL,2024-08,1h,8928,2.8429475890434652e-05,-9.730011695970736e-05,0.0028323226949705793,0.002891856131382209,0.08400537634408602,0.11391129032258064,0.8020833333333334,0.006903259783145106
12_holding_horizon,ALL,2024-08,4h,8928,2.4318743931939224e-06,-0.00037658477043061027,0.005914462376664598,0.006428608245282352,0.23823924731182797,0.31899641577060933,0.44276433691756273,0.014543240644356904
12_holding_horizon,ALL,2024-08,12h,8928,0.00019847778189685528,-0.001239405739014651,0.011123342036194694,0.013063659255172222,0.396505376344086,0.4807347670250896,0.12275985663082438,0.02909111262468804
12_holding_horizon,ALL,2024-09,1h,8640,1.900958799316843e-05,0.00010957111289747723,0.0022327355503837243,0.0022829560575167718,0.048726851851851855,0.04583333333333333,0.9054398148148148,0.005443627924990688
12_holding_horizon,ALL,2024-09,4h,8640,0.00022184879455400264,0.00046990086950369895,0.0047363018157805525,0.004980874296895588,0.21354166666666666,0.20590277777777777,0.5805555555555556,0.011490070813354267
12_holding_horizon,ALL,2024-09,12h,8640,0.0009091241292048524,0.0015858753452226708,0.009026299686663686,0.008833858399672379,0.39143518518518516,0.3940972222222222,0.2144675925925926,0.02190367771475559
12_holding_horizon,ALL,2024-10,1h,8928,0.00011152585916929247,0.0001496506893653184,0.0020370569858961796,0.0019581306959067235,0.035842293906810034,0.038418458781362005,0.925739247311828,0.004837495015192324
12_holding_horizon,ALL,2024-10,4h,8928,0.0004403619224778721,0.00053955112863744,0.0045382125699198195,0.0040039492843494395,0.18906810035842295,0.16263440860215053,0.6482974910394266,0.010431959975830846
12_holding_horizon,ALL,2024-10,12h,8928,0.00118509825569868,0.0015165804951164767,0.008753990473147066,0.007261577464001967,0.4128584229390681,0.33747759856630827,0.24966397849462366,0.019963731799554678
12_holding_horizon,ALL,2024-11,1h,8640,0.00032556245366266445,0.0004565900402762749,0.0028840030038950193,0.0027323271457819764,0.08854166666666667,0.08564814814814815,0.8258101851851852,0.006631207977840114
12_holding_horizon,ALL,2024-11,4h,8640,0.0007812257834576286,0.001856080087506661,0.006176265761134392,0.005436195674401179,0.30162037037037037,0.24328703703703702,0.4550925925925926,0.01424106450695732
12_holding_horizon,ALL,2024-11,12h,8640,0.0025056931875048205,0.005630719834768837,0.013134286818384577,0.009689756394243076,0.4681712962962963,0.39837962962962964,0.13344907407407408,0.027072766375069262
12_holding_horizon,ALL,2024-12,1h,8916,7.052709658628142e-05,-2.448424385296507e-05,0.0026018396634464036,0.0027019738786142056,0.063257065948856,0.08221175414984298,0.854531179901301,0.006224717838626221
12_holding_horizon,ALL,2024-12,4h,8880,0.00025695799177738454,-7.855735157109397e-05,0.00568323889113187,0.005589231396545824,0.22274774774774775,0.2768018018018018,0.5004504504504504,0.013088951799035095
12_holding_horizon,ALL,2024-12,12h,8784,0.0006071651724317562,-0.0001810362299560422,0.010848320711293158,0.010685975687733273,0.44364754098360654,0.41928506375227687,0.13706739526411657,0.027823828688815153
12_holding_horizon,EMA20>EMA50,2024-01,1h,4530,-0.0002803109752479438,-3.450293131502721e-06,0.0022069098695974843,0.0025028632666355133,0.07350993377483443,0.054304635761589407,0.8721854304635761,0.005688831796321717
12_holding_horizon,EMA20>EMA50,2024-01,4h,4530,-0.0006064390385274177,-0.00029149696598666926,0.004294433804095221,0.005381691481981754,0.22097130242825608,0.23002207505518762,0.5490066225165563,0.012239597928934302
12_holding_horizon,EMA20>EMA50,2024-01,12h,4530,-0.0008534819860508414,0.0007388471575858628,0.009849185149827466,0.01094385612095472,0.3766004415011038,0.4498896247240618,0.17350993377483442,0.02501429000515689
12_holding_horizon,EMA20>EMA50,2024-02,1h,4859,-3.195968189606546e-05,0.0005445692269341811,0.0023630588052994117,0.002265095222631852,0.08293887631199835,0.051656719489606914,0.8654044041983947,0.005443721193498845
12_holding_horizon,EMA20>EMA50,2024-02,4h,4859,0.0004930514750352,0.0022764483070580087,0.005661438413052666,0.004404468325359789,0.29018316526034166,0.1444741716402552,0.5653426630994032,0.01176778804955366
12_holding_horizon,EMA20>EMA50,2024-02,12h,4859,0.0030030088177199765,0.006469375885141224,0.011310883710594188,0.007013395263524402,0.5050421897509776,0.2885367359539,0.20642107429512246,0.021201760412185727
12_holding_horizon,EMA20>EMA50,2024-03,1h,5017,8.555451218783539e-05,0.0002238687691350353,0.0032855435638219355,0.0031622203854002606,0.1201913494119992,0.0964719952162647,0.7833366553717361,0.0077797205151029164
12_holding_horizon,EMA20>EMA50,2024-03,4h,5017,0.0010257645784350622,0.000343384055722519,0.007625730797953256,0.0062577951994298164,0.36296591588598764,0.2896153079529599,0.34741877616105243,0.016186796795029105
12_holding_horizon,EMA20>EMA50,2024-03,12h,5017,0.0014799415439537,0.0022260613589905275,0.013340580608399044,0.012481137072236748,0.5086705202312138,0.40163444289415984,0.08969503687462627,0.03134420628088052
12_holding_horizon,EMA20>EMA50,2024-04,1h,4191,-0.00033517839254504356,-6.792835254250982e-05,0.0026211099888320266,0.0028726942848502635,0.07468384633738964,0.07730851825340014,0.8480076354092102,0.006578466475508597
12_holding_horizon,EMA20>EMA50,2024-04,4h,4191,-0.0010939575791117928,-0.0006694828872175814,0.005425538122614704,0.006249124608992074,0.2481507993319017,0.3111429253161537,0.4407062753519446,0.013988937646560881
12_holding_horizon,EMA20>EMA50,2024-04,12h,4191,-0.0016581763157487162,-0.004027995104558396,0.00964537616640282,0.012192826668117607,0.39775709854450014,0.5091863517060368,0.09305654974946313,0.026330759364515337
12_holding_horizon,EMA20>EMA50,2024-05,1h,4893,-0.0002546346109338904,0.00011459981705220072,0.0022529927007299833,0.002268439687686752,0.06642141835274883,0.04455344369507459,0.8890251379521765,0.0055307040762308185
12_holding_horizon,EMA20>EMA50,2024-05,4h,4893,-7.136110338668011e-05,0.00035378509038211446,0.005023148089377427,0.004895044755027,0.24954015941140403,0.20784794604537093,0.542611894543225,0.012535997772024614
12_holding_horizon,EMA20>EMA50,2024-05,12h,4893,0.0008987075928916788,0.002062362046319534,0.009909015866773174,0.007943541169476265,0.42673206621704474,0.3842223584712855,0.18904557531166974,0.02293409442267442
12_holding_horizon,EMA20>EMA50,2024-06,1h,4235,-0.00014065112690042625,-8.833953020679935e-06,0.001451202836282306,0.0015826461073460418,0.029043683589138135,0.022668240850059033,0.9482880755608029,0.0038572651062197664
12_holding_horizon,EMA20>EMA50,2024-06,4h,4235,-7.642255120299257e-05,-4.619332909822941e-05,0.0033455788445060364,0.003123437187298239,0.1487603305785124,0.11381345926800472,0.7374262101534829,0.008154886588066434
12_holding_horizon,EMA20>EMA50,2024-06,12h,4235,0.00037411428658651324,-0.0004932595044379629,0.006796144907373236,0.005890246669475907,0.30271546635183,0.24557260920897284,0.45171192443919717,0.016536787077436103
12_holding_horizon,EMA20>EMA50,2024-07,1h,4902,-8.865334696805949e-05,0.0001654987703462205,0.002792130750733146,0.0024445910725865994,0.08057935536515708,0.05813953488372093,0.861281109751122,0.006362880888132347
12_holding_horizon,EMA20>EMA50,2024-07,4h,4902,0.0006643341795853352,0.0005312725073593326,0.006335349990498118,0.00519409704716417,0.2968176254589963,0.2470420236638107,0.45614035087719296,0.013888988304017632
12_holding_horizon,EMA20>EMA50,2024-07,12h,4902,0.0017825903076413852,7.084870497154286e-05,0.012080223700736581,0.010642258873278687,0.5038759689922481,0.42758057935536514,0.06854345165238677,0.02711516700101551
12_holding_horizon,EMA20>EMA50,2024-08,1h,4522,-0.00011356798451783723,-4.0781928577733214e-05,0.002690111316033139,0.0026962125912310397,0.08624502432551968,0.09155241043785936,0.8222025652366209,0.006626589558292066
12_holding_horizon,EMA20>EMA50,2024-08,4h,4522,-0.0006569222478385317,-0.0010618365757764788,0.005805708721260405,0.005885777786472368,0.2501105705440071,0.2963290579389651,0.4535603715170279,0.014264450903051812
12_holding_horizon,EMA20>EMA50,2024-08,12h,4522,-0.0005386914711664748,-0.0012085695155759464,0.010653886522103861,0.012660134454993366,0.4082264484741265,0.4374170720919947,0.1543564794338788,0.03091341314503613
12_holding_horizon,EMA20>EMA50,2024-09,1h,4471,-0.00013143655568526036,8.999967981215628e-05,0.002124560952625698,0.0022149909584023852,0.06307313800044732,0.04294341310668754,0.8939834488928652,0.005385643637002253
12_holding_horizon,EMA20>EMA50,2024-09,4h,4471,-3.173494970010182e-05,0.00023968642036865603,0.004588803349279802,0.00491336706086376,0.23507045403712815,0.21046745694475508,0.5544620890181168,0.011581359816653935
